4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4,		4, 3, 4, 4, 4, 4, 4, 3,19, 1, 1, 1, 1,18, 4, 4,		6, 0, 0, 0, 0, 0, 0, 7, 1,4 ,22, 2, 2, 2, 2, 2,
3, 2, 3, 4, 2, 3, 4, 4,22,23, 3, 3, 4, 4, 4, 4,		4, 4, 3, 4, 4, 3, 4,19, 1, 1, 1, 1,18, 4, 3, 4,		6, 0, 0, 0, 0, 0,26,14, 4,22, 2, 2, 2, 2, 2, 2,
4, 1, 3, 4, 4, 4, 3, 4,24,25, 4, 4, 4, 4, 3, 4,		4, 4, 4, 4, 3, 4,19, 1, 1, 1, 1, 1, 4, 4, 4,15,	   28, 0, 0, 0, 0,26,14, 4, 3, 2, 2, 2, 2, 2, 2, 2,
4, 4, 3, 4, 1, 3, 3, 4, 4, 4, 4, 3, 4, 3, 4,15,    16, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1,18, 4, 4, 4, 6,		0, 0, 0, 0, 0, 7, 4, 4,22, 2, 2, 2, 2, 2, 2, 2,
3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4,15,28,	   29,16, 3, 4, 4, 4, 1, 1, 1, 1, 1,20, 4, 4,15,28,     0, 0, 0, 0, 0, 7, 4,22, 2, 2, 2, 2, 2, 2, 2, 2,
4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,15,13, 0,	    0, 7, 4, 4, 4,19, 1, 1,18,21, 1, 1, 4,15,28, 0,     0, 0, 0, 0,10,14, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2,
4, 4, 4, 4, 4, 4, 4, 3, 3, 4,15,16, 4, 6, 0, 0,		0,12,16, 3, 4, 1, 1,18, 4, 4,21, 1,15,13, 0, 0,		0, 0, 0, 0, 7, 4, 4, 2, 2,25, 4, 4,24, 2, 2, 2,
3, 4, 2, 1, 4, 1,20, 4, 4,15,28,29,16, 6, 0, 0,		0, 0,29,16, 4, 1, 1,20, 4, 4, 4,15,28, 0, 0, 0,     0, 0, 0, 0, 7, 4,22, 2, 2, 4, 4, 4, 4,24, 2, 2,
4, 4, 4, 4, 4, 1, 1,20,15,28, 0, 0,12,28, 0, 0,		0, 0, 0, 7, 4, 1, 1, 1,20, 1,19, 6, 0, 0, 0, 0,     0, 0, 0, 0, 7,19, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
4, 4, 4, 4,19, 1, 1, 1, 6, 0, 0, 0, 0, 0, 0, 0,		0, 0, 0, 7, 1, 1, 1, 1, 1, 1, 1, 6, 0, 0, 0, 0,		0, 0, 0,26,14, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
