 0, 0, 0, 0, 0, 0, 0,37,38,37,38,37,38,00,00,00,	00,00,00,00,00,00,00, 0, 0, 0, 0, 0, 0, 0, 0, 0,	00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
 0, 0, 0, 0, 0, 0, 0,37,38,37,38,37,38,00,00,37,	34,37,34,34,38,37,00, 0, 0, 0, 0, 0, 0, 0, 0, 0,	00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
 0, 0, 0, 0, 0, 0,38,37,38,37,38,37,38,00,00,34,	38,37,38,36,36,37,00, 0, 0,36,36,36,38,37,36,36,	34,37,38,37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
 0, 0, 0, 0, 0,37,38,37,38,37,38, 0, 0,00,00,34,	34,37,38,36,36,36,00, 0,34,36,36,36,38,36,36,37,	34,36,38,37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
 0, 0, 0, 0, 0,37,38,37,34,34,38,00,00,00,00, 0,	 0, 0, 0,34,34,34,00, 0, 0,36,36,36,34,34,36,37,	38,34,38,37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
 0, 0, 0, 0,38,37,38,34,34,34, 0,00,00,00,00,00, 	 0, 0, 0, 0, 0,00,00, 0, 0, 0, 0,00,00, 0,38,37,	38,36,36,37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
 0,34,38,37,38,37,38,37,34, 0,00,00,00,00,00,00, 	 0, 0, 0, 0, 0,00,00, 0, 0, 0, 0,00,00, 0, 0,37,	34,37,34,36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
38,37,38,37,38,37, 0, 0, 0,00,00,00,00,00,00,00,	 0, 0, 0, 0, 0,00,00,00,00,00,00,00,00,00,00,00,	34,34,36,36,00,00,00,00,00,00,00,00,00,00,00,00,
38,37,38,37,34, 0,00,00,00,00,00,00,00,00,00,00,	 0, 0, 0, 0, 0,00,00,00,00,00,00,00,00,00,00,00,	00,36,36,36,00,00,00,00,00,00,00,00,00,00,00,00,
38,37,38,37, 0,00,00,00,00,00,00,00,00,00,00,00,	 0, 0, 0, 0, 0,00,00,00,00,00,00,00,00,00,00,00,	00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
 0, 0, 0, 0,00,00,00,00,00,00,00,00,00,00,00,00,	 0, 0, 0, 0, 0,00,00,00,00,00,00,00,00,00,00,00,	00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,36,36,36,36,36,	36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,	00,00,34,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,36,36,36,36,36,	36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,	00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,36,36,36,36,36,	34,36,36,34,36,36,34,36,36,34,36,36,34,36,36,36,	00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,36,36,36,36,36,	36,37,38,37,38,36,36,36,36,36,36,36,36,36,36,36,	00,00,34,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,36,36,36,36,36,	36,37,38,37,36,36,36,36,36,36,36,36,36,36,36,36,	00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,

00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,	00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,	00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,00,37,36,36,	36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,	00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,38,36,38,36,	36,37,38,37,36,36,36,36,36,36,36,36,36,36,36,36,	00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,37,38,37,36,36,	36,34,38,37,38,34,34,34,34,34,34,34,34,34,34,36,	00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,37,36,36,36,36,	36,36,36,37,38,36,36,36,36,36,36,36,36,36,36,36,	00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,36,36,36,36,36,	36,36,36,36,38,37,38,36,36,36,36,36,36,36,36,36,	00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
